outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs,predicted_mean_force
2.55,2.16,1.52,75.62,127.26,278.99,69834.6,27.996293920441754
2.55,2.11,1.33,75.28,127.7,263.18,73741.1,26.205298996497046
2.87,1.98,1.28,75.67,128.2,254.22,67240.3,29.10841903073128
2.71,1.77,1.58,75.27,127.4,283.69,72257.3,29.805316959679654
2.63,1.72,1.41,76.37,128.42,249.81,73706.7,25.661425550238842
2.5,2.09,1.39,75.32,128.03,263.32,73433.8,25.67269143286728
2.54,2.08,1.55,75.53,128.57,285.01,68855.1,28.139309138584505
2.72,2.24,1.52,75.35,127.62,271.18,75198.2,30.31057798564677
2.72,2.18,1.24,76.08,127.81,274.71,65620.3,28.977168281353894
2.7,1.89,1.49,75.82,127.24,291.03,69837.5,30.241276353911868
2.6,1.75,1.59,75.22,127.58,268.12,64570.0,26.55119579680297
2.51,1.92,1.21,75.52,128.55,264.72,64412.3,24.32612788460096
2.86,1.9,1.39,75.46,127.71,253.7,67114.5,28.965244533882352
2.79,1.85,1.58,75.58,128.17,242.06,71304.6,27.843432446517905
2.74,2.05,1.55,76.34,127.54,246.75,71139.8,28.052579676187516
2.68,1.94,1.56,75.96,128.16,240.98,65792.9,26.19431425236689
2.55,1.94,1.46,75.52,128.49,264.38,65851.5,25.795685309553274
2.88,2.26,1.47,76.0,127.42,250.54,76238.1,30.780536912273302
2.82,2.3,1.68,75.97,127.86,242.35,76421.9,30.177932184435573
2.84,2.05,1.74,75.61,127.72,275.38,70366.3,32.453857857190314
2.57,2.23,1.62,76.06,127.62,284.45,71345.9,29.440922520294404
2.86,1.89,1.34,75.67,127.64,256.67,76262.9,29.55812737369831
2.87,1.93,1.71,76.09,127.67,267.61,66408.1,31.65450424337916
2.84,2.13,1.7,76.26,127.37,258.53,72347.5,31.25942195765958
2.85,2.05,1.27,76.52,128.14,256.81,64775.2,29.185908073152742
2.76,1.72,1.34,75.65,127.29,241.32,66371.4,25.97892884785369
2.75,1.82,1.26,76.39,127.28,257.82,69184.9,27.426793102497296
2.89,2.28,1.75,75.25,128.41,290.82,67850.8,35.053440149838366
2.88,1.81,1.3,75.8,128.3,279.12,65689.8,30.83042122859683
2.79,1.7,1.28,75.97,128.59,259.78,75364.1,28.22233515702646
2.8,1.92,1.45,75.7,127.77,292.35,67546.1,31.62907788751431
2.84,1.74,1.7,76.1,127.63,248.22,75376.9,29.50923296900839
2.72,1.84,1.28,76.2,127.69,248.6,71722.9,26.530073303380387
2.72,1.84,1.34,75.89,128.11,288.87,71376.7,29.813996818112965
2.6,1.78,1.43,75.3,127.81,288.31,70427.3,27.97533265249262
2.7,1.99,1.61,76.38,128.47,273.24,66459.3,29.486273787558613
2.78,1.92,1.7,76.36,127.31,253.26,71887.7,29.40900527685937
2.6,2.19,1.34,75.37,127.85,256.76,63092.9,26.03859552453036
2.87,2.25,1.45,75.27,128.56,281.1,69216.6,32.75341711136889
2.71,2.25,1.77,75.5,127.87,274.36,75457.9,31.499197531416026
2.82,1.77,1.77,75.89,128.07,265.2,67494.2,30.554989819800877
2.65,2.07,1.57,76.27,128.36,285.91,67109.6,29.853515146326114
2.58,2.12,1.54,75.8,127.33,257.74,74976.5,27.04037828731452
2.8,1.73,1.48,75.46,128.12,242.33,63982.3,26.897859360899584
2.8,1.86,1.46,76.27,127.41,261.6,68346.2,29.149313424304975
2.6,1.98,1.37,76.57,128.55,256.15,67906.4,25.903975444587328
2.79,1.97,1.44,75.28,127.75,289.09,69674.7,31.333946935434707
2.51,2.06,1.26,76.04,127.59,284.29,70500.6,26.682082959638702
2.71,2.0,1.75,76.49,127.84,261.78,63192.5,29.09360975287279
2.76,1.92,1.42,75.24,128.42,261.59,63231.5,28.099921242697516
2.72,2.1,1.78,75.9,127.89,257.45,74958.7,29.846227099153676
2.83,2.23,1.51,76.13,127.89,271.13,73311.8,31.824041755068148
2.63,1.75,1.28,76.21,127.45,248.33,72915.2,25.129952440885855
2.7,2.17,1.28,76.46,127.72,255.42,70598.4,27.56321282381793
2.84,1.81,1.5,75.55,127.64,279.88,65012.8,30.867571211873948
2.55,1.98,1.42,75.24,128.0,257.76,70115.0,25.502136649882456
2.51,1.94,1.29,75.89,128.16,244.1,63487.8,23.13796950860819
2.57,1.78,1.39,75.3,128.14,276.12,72840.4,26.65359997315181
2.6,2.09,1.36,76.44,128.18,282.86,69312.0,28.26811207992864
2.82,2.18,1.38,76.01,128.22,285.99,68275.3,32.02198803050521
2.77,1.97,1.49,76.11,127.33,275.83,63299.7,29.952356717462177
2.77,1.9,1.34,75.9,127.53,268.7,69197.1,28.962803339838157
2.7,2.28,1.32,76.06,128.4,277.66,68865.5,29.68725424913111
2.6,2.2,1.65,76.39,128.21,279.26,64620.1,29.121721044642182
2.78,1.88,1.66,75.49,127.91,274.48,70102.8,30.66017806132788
2.74,2.13,1.66,75.9,127.26,265.52,71818.6,30.199870037271236
2.58,1.94,1.58,75.76,127.32,256.95,74746.5,26.617974037780296
2.89,2.14,1.61,76.33,127.3,266.92,72602.1,32.38872184648858
2.7,2.18,1.6,76.47,128.02,242.05,66240.8,27.390916003979324
2.85,1.95,1.56,75.31,127.61,245.13,73317.4,29.113833125918855
2.79,2.24,1.74,75.88,128.29,244.26,76767.6,30.0350980790522
2.52,2.13,1.49,76.1,128.16,256.04,69032.3,25.628641585538613
2.83,2.23,1.63,75.46,128.21,262.36,66349.4,31.05524160330833
2.62,1.7,1.66,76.22,127.38,289.59,73314.9,29.407622188104252
2.6,2.03,1.61,75.29,127.69,288.56,69579.7,29.360877641861403
2.53,2.1,1.24,75.79,127.25,286.7,73632.3,27.34779761482707
2.62,2.09,1.54,76.18,127.64,271.94,71232.0,28.464962651123184
2.83,1.74,1.58,76.36,128.31,258.63,73941.4,29.820400023471617
2.74,2.27,1.36,76.58,127.63,251.72,73138.0,28.47114289429066
2.75,1.99,1.64,76.18,128.55,286.25,70212.9,31.60561947258736
2.77,1.78,1.54,75.55,127.61,268.97,72917.9,29.491048867480227
2.55,1.84,1.59,75.87,128.35,281.81,64029.4,27.249309664727658
2.76,2.1,1.64,75.52,127.43,289.49,64044.6,31.794451836142567
2.7,1.86,1.49,76.53,128.47,288.17,63776.8,29.73084540751847
2.62,2.15,1.77,76.03,127.97,242.13,64560.8,26.725349998851353
2.61,1.84,1.46,75.37,127.77,269.97,72226.4,27.12993945088601
2.65,2.12,1.29,76.17,128.12,275.21,64713.9,27.965799356006524
2.58,2.3,1.54,76.08,128.17,258.63,64462.2,27.041924381981058
2.63,2.19,1.27,75.68,128.32,281.62,65996.1,28.341418683311982
2.53,1.89,1.62,76.49,128.5,291.5,76187.5,28.75653598955193
2.84,1.84,1.26,76.31,127.98,256.31,68295.7,28.60555778776438
2.86,1.96,1.3,75.54,128.15,245.72,74813.3,28.661554707441834
2.86,1.76,1.66,75.82,127.3,243.95,76849.4,29.290563362173994
2.62,2.16,1.43,75.58,128.41,266.65,76145.6,28.109115221172598
2.79,2.24,1.6,76.11,127.84,250.03,65779.9,29.408262286899113
2.52,1.94,1.4,76.35,128.53,243.22,73038.5,24.12327968698025
2.53,2.17,1.55,75.4,128.29,261.98,70928.2,26.62769976094307
2.5,1.83,1.73,75.97,128.33,286.77,69589.1,27.79960182666502
2.52,1.72,1.21,75.73,127.56,241.85,74067.7,22.94865013123103
2.78,1.93,1.21,75.21,128.29,278.12,64527.7,29.098769537838958
2.55,1.72,1.61,75.48,127.98,293.69,65502.8,27.89903963453389
2.68,2.08,1.64,75.26,127.88,271.37,63182.2,29.0031252503835
2.5,2.0,1.68,75.74,127.45,280.91,64148.8,27.26481956398754
2.85,2.17,1.74,75.61,128.26,285.83,63043.4,33.440054725632194
2.89,1.97,1.51,75.9,128.28,240.69,76508.9,29.519742892403652
2.88,1.76,1.23,76.48,127.89,257.36,63334.8,28.739462924341407
2.53,2.25,1.43,76.06,127.24,242.25,74789.7,25.14459927257712
2.65,2.09,1.23,76.23,128.03,280.16,64283.4,28.036697845097475
2.9,2.04,1.49,76.42,127.79,261.14,65785.9,31.02499992668265
2.69,1.76,1.25,76.51,127.89,268.96,66259.1,27.14009572081147
2.84,1.96,1.6,75.85,127.39,280.0,67752.8,31.916195397663156
2.75,2.23,1.79,76.55,127.98,264.1,70057.1,31.034174275814618
2.7,2.21,1.4,76.35,128.09,259.02,73523.7,28.534520095562353
2.6,2.11,1.2,76.15,127.26,240.66,76043.0,24.93817168208852
2.9,2.27,1.52,75.86,128.54,247.55,67777.2,30.65008477011315
2.63,1.97,1.28,76.18,127.47,258.52,70416.4,26.284845152361523
2.62,2.11,1.77,76.27,127.36,274.77,73381.4,29.782319899092382
2.71,2.08,1.44,76.06,127.64,283.82,76273.9,30.573722570936294
2.69,2.25,1.74,76.18,128.08,277.09,71424.3,31.172198378220966
2.83,2.24,1.74,75.87,127.39,250.01,65290.1,30.39676131998237
2.69,1.89,1.21,75.76,127.37,283.66,74065.1,28.75201988373612
2.53,1.89,1.32,75.63,127.35,273.66,66509.2,25.648620267363523
2.69,1.7,1.4,76.11,127.62,289.69,70055.4,29.234216839548022
2.83,2.24,1.26,75.71,128.59,282.06,68750.7,31.59394715546227
2.52,2.29,1.27,75.54,127.41,270.88,70246.5,26.493793898805958
2.9,1.81,1.63,76.47,128.4,260.77,65226.1,30.928444974243117
2.68,1.96,1.44,75.67,127.43,249.89,64534.8,26.39928691838099
2.55,2.1,1.58,75.71,128.35,254.41,63383.1,25.786578505870917
2.64,1.82,1.47,76.22,127.86,249.67,72478.8,26.130227628525514
2.6,2.2,1.33,75.45,127.65,242.03,65007.7,25.042152231893166
2.72,2.24,1.43,76.48,128.03,275.95,65756.3,29.950549094460595
2.51,1.81,1.66,76.02,127.38,255.16,65663.2,25.007666746226388
2.74,2.14,1.42,76.12,128.21,277.72,68532.2,30.22215317727989
2.85,2.19,1.77,75.68,127.26,257.62,63481.6,31.155804914891743
2.57,2.06,1.6,75.99,127.28,270.08,68589.3,27.57440813220853
2.71,1.91,1.21,75.5,128.39,243.82,66978.6,25.650047739465773
2.59,2.23,1.52,76.32,128.05,267.4,65314.1,27.6549563892122
2.7,2.27,1.39,76.24,127.4,246.24,76347.5,27.72804712658603
2.75,1.79,1.73,76.45,127.81,246.23,71349.8,28.21346577250858
2.7,1.96,1.65,76.36,128.08,293.71,72504.8,31.576214028100136
2.86,2.18,1.2,75.73,127.3,269.26,72764.0,30.720319809699273
2.76,2.17,1.43,75.87,127.59,249.24,71630.3,28.41207828647782
2.55,1.75,1.45,76.05,127.72,247.21,75605.6,24.64342032734191
2.86,1.73,1.2,75.93,127.94,288.82,66532.0,30.82738038742536
2.88,1.86,1.59,75.69,127.66,258.62,64574.2,30.159220535510027
2.58,1.9,1.57,75.45,128.51,273.24,66340.1,27.181678388256838
2.72,1.83,1.53,75.72,128.2,266.28,68172.5,28.461434038620947
2.82,2.04,1.72,75.38,127.5,283.27,64266.2,32.273500832385366
2.84,2.22,1.7,75.65,128.02,241.72,69458.1,29.85141512743905
2.7,1.95,1.72,75.24,127.91,272.16,64770.6,29.364848233846597
2.53,2.29,1.37,75.42,127.38,265.43,73875.8,26.767636219634138
