outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs,predicted_max_force
2.59,2.23,1.52,76.32,128.05,267.4,65314.1,198.52645466393267
2.7,2.27,1.39,76.24,127.4,246.24,76347.5,201.1901499696795
2.75,1.79,1.73,76.45,127.81,246.23,71349.8,197.38681366647563
2.7,1.96,1.65,76.36,128.08,293.71,72504.8,222.69246916991415
2.86,2.18,1.2,75.73,127.3,269.26,72764.0,224.8950019172454
2.76,2.17,1.43,75.87,127.59,249.24,71630.3,203.6327483021181
2.55,1.75,1.45,76.05,127.72,247.21,75605.6,183.01150387359905
2.86,1.73,1.2,75.93,127.94,288.82,66532.0,228.70767601724708
2.88,1.86,1.59,75.69,127.66,258.62,64574.2,211.81517185532095
2.58,1.9,1.57,75.45,128.51,273.24,66340.1,195.58209898933455
2.72,1.83,1.53,75.72,128.2,266.28,68172.5,203.88717738014282
2.82,2.04,1.72,75.38,127.5,283.27,64266.2,222.10189279104713
2.84,2.22,1.7,75.65,128.02,241.72,69458.1,203.73940634389737
2.7,1.95,1.72,75.24,127.91,272.16,64770.6,204.29746290025332
2.53,2.29,1.37,75.42,127.38,265.43,73875.8,196.0425963704413
2.54,1.86,1.49,76.13,127.24,259.91,72087.8,190.02138675312494
2.69,2.07,1.32,75.64,128.22,244.16,73817.1,193.64101073599295
2.78,2.22,1.58,75.66,127.75,262.1,69750.1,211.42365668890102
2.74,1.99,1.51,76.07,127.84,277.85,75997.5,218.54714001318087
2.89,2.05,1.47,76.07,127.82,261.92,68290.2,219.06106545578302
2.78,2.09,1.27,76.08,127.58,245.04,69672.5,202.11665567954753
2.68,2.06,1.51,75.55,128.11,279.02,75428.5,213.31438319541746
2.83,2.04,1.46,76.6,127.39,275.24,70138.4,224.55543282637962
2.79,1.79,1.48,75.65,127.73,256.98,69053.8,204.7888525061502
2.69,2.3,1.73,75.76,128.26,292.17,68246.8,220.8875352840745
2.61,2.19,1.49,76.54,128.51,275.58,76594.9,208.93612116837505
2.76,2.17,1.34,76.56,128.32,263.94,69434.0,212.01108332377828
2.68,1.82,1.6,75.37,128.58,245.55,74760.5,189.82146707035884
2.76,1.77,1.48,75.58,128.21,285.29,68985.0,217.8564088148537
2.9,1.74,1.47,75.99,128.25,265.05,75749.7,220.77270315560008
2.53,2.26,1.31,76.36,128.57,241.29,67258.2,179.67148630461202
2.78,2.09,1.31,75.25,127.41,268.49,75212.1,216.5473435717537
2.66,1.83,1.77,75.31,127.44,253.22,63834.3,189.22926655151105
2.87,1.99,1.76,75.77,128.14,253.33,70555.0,210.87760994671135
2.68,2.28,1.22,75.58,127.52,261.23,63351.5,201.86824687484966
2.63,2.08,1.51,75.31,128.53,257.19,66576.5,191.97596521116202
2.74,2.07,1.3,76.14,128.0,271.29,71568.9,214.18423850655392
2.77,1.9,1.79,76.17,128.2,264.05,64731.8,206.30750422825736
2.69,2.28,1.61,75.26,128.12,292.72,69405.2,220.9596194887232
2.84,1.79,1.5,75.92,127.52,260.7,72195.6,213.29716853332536
2.56,1.75,1.65,76.04,127.73,258.19,71902.0,188.03843544042252
2.88,1.93,1.24,76.15,127.36,255.69,66704.9,214.32489036724428
2.81,2.09,1.46,75.53,127.34,246.86,75039.9,206.66026961331374
2.55,2.03,1.42,75.38,128.34,261.29,63662.2,186.94122658885192
2.59,1.8,1.4,76.36,128.55,247.3,72710.5,185.27322125674482
2.61,1.79,1.22,75.93,128.53,285.62,73522.6,209.33660602317855
2.9,2.08,1.77,75.28,127.89,260.99,74480.5,219.81102983374035
2.75,1.76,1.66,75.43,127.5,290.21,73363.0,221.7838282589379
2.9,1.72,1.47,76.15,128.05,289.84,63042.2,230.3817498076346
2.61,2.21,1.53,75.69,128.28,279.32,72732.3,208.18560996079043
2.77,2.12,1.43,76.19,128.25,280.16,63459.9,218.42421074482354
2.67,1.86,1.21,76.54,128.07,242.82,66467.2,188.98075817904635
2.72,2.15,1.61,75.44,127.97,241.15,64993.9,190.7895202945948
2.56,2.15,1.34,76.43,127.97,273.33,76115.4,203.9166028157432
2.68,1.95,1.37,76.47,128.12,268.05,71488.9,206.5528974307565
2.9,2.2,1.55,76.55,127.58,247.55,63977.6,212.6925907086386
2.6,1.99,1.23,76.07,127.66,270.8,63292.6,199.039235732669
2.52,1.92,1.69,76.57,127.38,288.24,63453.4,202.26845911916348
2.6,1.82,1.49,75.23,128.31,278.99,63416.1,198.5840048229985
2.6,2.19,1.71,75.72,128.19,279.82,65742.5,204.2767489370052
2.59,1.97,1.34,76.23,128.4,293.58,76521.4,215.70614238901885
2.65,1.73,1.33,75.91,127.73,247.63,70361.7,188.9897416708734
2.84,2.23,1.61,76.01,128.43,259.01,75273.5,216.59438617362264
2.74,2.2,1.6,76.14,127.26,266.03,72811.1,213.32128066255518
2.86,2.27,1.5,75.39,127.77,248.81,71542.5,211.15852784552908
2.64,2.02,1.46,75.72,127.79,288.87,73461.9,215.5551157505156
2.8,1.96,1.24,75.35,128.51,287.53,63388.8,221.8797358973644
2.69,1.78,1.27,76.59,127.44,264.85,67935.1,204.13276593335252
2.62,1.89,1.67,76.31,128.31,288.69,64712.7,208.9645937584994
2.78,2.14,1.72,75.35,127.75,255.78,76874.2,209.07980651549326
2.72,1.72,1.39,76.06,127.61,270.67,75201.6,210.3780153507546
2.69,2.02,1.61,75.51,128.38,260.48,75640.3,202.223426268524
2.5,1.88,1.23,76.06,127.45,285.57,67019.5,200.39740501237407
2.78,2.08,1.8,76.56,127.89,290.48,65764.8,226.05927966334082
2.72,2.22,1.58,75.83,127.53,287.02,66417.5,220.29992409559782
2.66,2.09,1.29,76.23,128.11,282.62,64980.6,212.01884238676905
2.57,2.11,1.39,75.44,128.07,255.64,69601.8,188.91951789677614
2.57,2.02,1.24,75.89,128.14,253.88,65192.4,186.6439102659349
2.81,1.75,1.33,75.55,128.44,241.47,63919.8,194.09496634278707
