mse,epsilon,C,gamma
3.4014674637642,7.56463327554629,26.0,0.5462277217684343
0.07834938966258659,0.02009233002565047,6.0,0.7220809018385468
0.012891463309105625,0.03274549162877728,16.0,0.06428073117284322
1.8151845724570936,2.4770763559917115,90.0,0.5994842503189411
1.8885824275416645,2.656087782946687,26.0,0.37649358067924693
2.9738260667849294,0.049770235643321115,11.0,83.02175681319753
0.012413327128235582,0.0533669923120631,76.0,0.02104904144512021
3.4014674637642,8.697490026177835,80.0,4.229242874389499
1.1763719889196957,0.11497569953977356,16.0,5.09413801481638
1.8650827720036258,0.49770235643321115,57.0,6.7341506577508286
0.012154577974797343,0.02009233002565047,29.0,0.04862601580065353
3.4014674637642,5.336699231206313,12.0,32.745491628777316
2.9582233389966874,0.11497569953977356,14.0,27.185882427329428
3.4014674637642,6.5793322465756825,57.0,9.770099572992256
2.9499536589028503,1.4174741629268048,43.0,12.91549665014884
0.013213346757964076,0.1,76.0,0.02104904144512021
3.4014674637642,4.9770235643321135,45.0,3.8535285937105312
0.6280119428036921,0.046415888336127795,45.0,3.1992671377973845
0.5885416488510742,1.232846739442066,71.0,0.37649358067924693
2.85259959244535,1.232846739442066,98.0,11.768119524349991
0.30789617994103846,0.014174741629268055,29.0,2.0092330025650478
2.9875879469900317,0.32745491628777285,11.0,83.02175681319753
3.4014674637642,7.054802310718645,40.0,4.641588833612782
3.4014674637642,4.9770235643321135,48.0,3.8535285937105312
0.016579002927406883,0.01873817422860384,19.0,0.033516026509388425
3.4014674637642,5.336699231206313,32.0,0.040370172585965536
2.9729179173369116,0.030538555088334154,93.0,62.802914418342596
0.05998413137322629,0.0533669923120631,22.0,0.012045035402587823
3.4014674637642,7.054802310718645,71.0,0.7924828983539177
3.4014674637642,6.135907273413176,63.0,3.5111917342151346
0.6703199008773367,1.3219411484660286,69.0,0.37649358067924693
0.4566785123959988,1.072267222010323,30.0,0.044306214575838825
3.2220364515884192,4.641588833612782,70.0,0.37649358067924693
0.6934598153856705,0.02009233002565047,29.0,3.5111917342151346
0.06305283430579241,0.16297508346206444,65.0,0.49770235643321115
2.9821072769831027,0.21544346900318845,79.0,91.11627561154896
1.8249319822252752,0.43287612810830595,79.0,6.7341506577508286
0.15025961329418538,0.30538555088334157,71.0,0.8697490026177834
0.02141890047938088,0.093260334688322,29.0,0.1788649529057435
0.039355674803041044,0.23101297000831603,20.0,0.027825594022071243
1.017636110075859,0.49770235643321115,71.0,3.5111917342151346
0.3651879076913154,0.9326033468832199,18.0,0.06428073117284322
1.268764795268211,0.030538555088334154,86.0,5.590810182512229
0.2998268644076232,0.7054802310718645,34.0,0.010974987654930561
2.4846041809765693,0.32745491628777285,26.0,10.722672220103243
1.9979582676086867,0.1873817422860384,58.0,8.111308307896872
0.805129303839788,0.06135907273413173,29.0,3.8535285937105312
2.8530140310415097,1.873817422860385,83.0,8.902150854450392
3.4014674637642,6.135907273413176,7.0,0.023101297000831605
0.05625387026245939,0.17475284000076838,8.0,0.044306214575838825
0.014807639614537802,0.01519911082952934,52.0,0.01747528400007684
2.826587817692389,0.023101297000831605,85.0,17.07352647470692
1.9167857828146881,2.656087782946687,48.0,0.5994842503189411
0.022312775153313952,0.12328467394420659,8.0,0.23644894126454083
0.1052787535745141,0.07564633275546291,14.0,0.9545484566618342
1.9505473516625584,2.848035868435802,37.0,0.033516026509388425
0.5784336301823341,0.6135907273413173,76.0,2.0092330025650478
0.012881758525121023,0.05722367659350217,64.0,0.05857020818056667
0.06361204614223936,0.05722367659350217,75.0,0.7220809018385468
0.015120551991389383,0.026560877829466867,68.0,0.08497534359086446
2.9338879750005753,0.12328467394420659,97.0,22.570197196339215
0.451816605545962,1.072267222010323,21.0,0.41320124001153385
0.1638862962778362,0.13219411484660293,40.0,1.261856883066021
3.4014674637642,6.5793322465756825,88.0,0.0774263682681127
3.4014674637642,6.5793322465756825,46.0,2.2051307399030455
0.06448162732921946,0.4037017258596556,24.0,0.093260334688322
