mean_force,max_force,outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs
26.60089846634223,32.9525976562,2.96,2.58,0.94,74.81,126.87,250.47,79995.0
29.121715173108615,37.7747070313,3.08,1.98,1.45,74.7,128.1,283.78,67156.6
24.261648746159675,32.1903046875,2.36,2.41,1.8,77.0,127.83,299.4,56206.4
24.926650784850775,30.0967285156,2.54,2.08,2.08,76.6,128.51,244.36,71701.1
25.820408971788883,30.0523359375,3.06,1.47,1.1,74.72,128.35,245.52,63160.3
26.605420426659485,33.6683320313,2.95,2.02,1.33,75.73,129.09,271.49,63979.4
23.96340896625533,29.0312089844,2.66,1.53,1.12,75.53,126.93,296.09,69762.8
25.88971208419795,32.0413925781,2.5,2.01,1.73,74.99,127.25,318.13,67088.6
21.59142512377563,24.0169804687,2.61,1.74,1.58,74.8,126.56,217.87,62496.5
27.546164823167732,38.9645585937,2.63,2.51,2.03,76.7,127.92,308.05,68244.9
24.43654830703455,29.920421875,2.68,2.51,1.94,74.96,129.12,214.77,56429.7
23.922138967778768,30.2393242187,2.48,2.25,1.68,75.47,128.38,270.83,65280.7
27.22120532559769,34.8338398437,3.04,2.5,0.9,74.6,126.79,263.3,75253.6
22.59926379635107,25.6772929687,2.43,1.72,1.47,74.57,127.4,277.06,65687.5
26.353961382022565,32.2807910156,2.56,1.78,1.77,74.7,128.6,310.57,75983.6
26.140683120581496,31.9361621094,2.66,1.58,1.56,75.29,128.39,316.36,68025.3
23.611300701060383,28.182328125,2.49,1.83,1.47,76.83,127.57,287.21,67966.9
21.22209259153896,24.3032128906,2.46,2.25,1.18,75.37,127.01,220.94,83973.6
23.240651937272418,29.2308457031,2.54,2.55,1.61,75.24,127.04,238.31,68886.6
17.901906180814585,20.9170761719,2.32,1.9,1.11,75.54,126.92,216.47,83044.8
24.182760139884966,28.8238769531,2.61,2.25,1.19,75.67,126.92,274.65,58265.7
25.692113511654895,34.3633984375,2.51,2.46,1.96,76.9,128.37,290.32,56672.9
24.324367137939582,29.4671992188,2.86,1.46,1.09,76.98,128.7,270.62,56056.7
25.203946224675395,30.6056328125,2.59,1.74,1.43,75.78,127.34,305.01,74181.6
24.807745883498427,30.1520820312,2.59,2.42,1.03,76.66,128.14,283.73,71943.0
21.676300298301395,24.4927929687,2.64,1.63,1.41,76.95,127.2,229.71,60465.4
26.80513879477038,34.0539921875,2.6,2.39,1.12,75.63,128.21,320.26,83741.1
24.336892071641657,28.6308203125,2.82,1.84,1.32,76.27,128.33,248.54,59079.2
23.56841470454271,26.8799882813,2.6,1.59,1.58,76.88,127.02,249.37,79255.1
27.816362736747944,32.7586210938,3.03,1.88,1.88,75.05,128.22,223.6,75541.4
25.526116210185137,31.1763964844,2.79,2.07,1.06,76.41,127.18,277.88,56607.7
25.339498626809714,30.124078125,2.64,2.03,1.62,74.68,126.74,259.64,75306.0
23.78560888072854,31.2196113281,2.48,2.13,1.25,75.83,126.61,318.7,78218.2
26.099046898513105,33.1545585937,2.55,2.08,1.62,75.64,128.58,301.88,82558.6
26.261237768902472,31.9133261719,2.66,1.93,1.71,74.79,127.49,298.36,58942.3
24.583260608145906,31.4186503906,2.45,2.32,1.4,75.01,128.95,304.08,76828.3
23.577645534279217,29.4241308594,2.53,2.41,1.55,76.97,128.56,237.04,82303.0
22.36403323247135,25.7438964844,2.36,1.85,1.84,76.43,127.85,247.16,80546.8
25.706770198320353,31.9860175781,2.75,1.92,1.6,76.79,126.83,288.37,56902.5
18.952502578466394,21.4149667969,2.46,1.51,1.15,75.67,128.02,232.67,63636.3
24.967426308511794,28.9629257813,2.85,1.58,1.42,76.74,127.81,244.19,67021.5
22.479437123078966,26.1766210938,2.5,1.62,1.49,76.77,126.98,274.9,60398.0
25.693920167351518,30.0879707031,2.84,2.01,2.01,75.72,127.6,217.06,68383.7
23.60443566833743,28.9359707031,2.39,2.12,1.52,76.37,127.66,286.06,77624.5
24.001857598157507,28.1350117188,2.49,2.41,1.2,76.13,127.0,262.01,76916.4
23.86377821261407,29.8458847656,2.61,1.92,1.01,75.28,127.72,297.7,69014.9
27.010552514873517,38.241375,2.67,2.58,1.59,76.96,127.4,309.25,81959.9
26.426584617566103,34.5013320313,2.93,2.5,1.52,75.97,128.2,245.25,69547.5
23.221010439208772,27.8970957031,2.45,2.05,2.05,76.32,129.0,220.7,79162.2
28.206054679278417,37.8584140625,2.95,2.54,1.62,76.16,129.19,258.79,81094.5
25.146688876052824,29.9375683594,2.58,1.91,1.38,75.19,129.23,290.07,73532.9
25.87882450919459,31.4765332031,2.54,2.04,2.04,74.96,127.76,266.38,70352.1
24.58736790100996,29.6110722656,2.75,2.02,1.07,77.22,126.55,248.94,78522.8
22.37599583837574,28.2668789062,2.34,2.39,1.83,76.16,128.68,231.2,74046.1
16.9755981704648,19.3365800781,2.35,1.45,0.92,76.79,127.53,214.99,79963.3
24.58598288479898,30.2216445312,2.69,2.35,1.68,75.46,128.71,245.63,58107.7
28.04774716942465,36.0910703125,2.95,2.02,1.59,76.3,127.42,289.26,60880.2
22.8145291066858,26.1638300781,2.72,1.6,1.6,76.69,126.77,231.1,61495.8
27.202886664430086,35.7444140625,2.63,2.25,1.99,76.52,127.22,312.84,59888.4
22.429277590023737,25.31446875,2.6,2.32,1.0,74.62,127.34,228.28,77932.0
